id,pubdate,headline,title,body
1,2016/6/13,東北5県? 震災ギフト福島除外,東北は「5県」？ギフトカタログで福島県の商品だけ除外　グリーンコープ,西日本の複数の生活協同組合（生協）からなる「グリーンコープ」のギフトカタログの、東日本大震災の被災地を応援する企画の中で、東北地方が「5県」と紹介され、福島県の商品だけが除外されていることが分かった。(THE PAGE)
2,2016/4/15,民進Twitter災害中に自民批判,大震災「自民議員が足引っ張った」＝民進ツイッター、批判受け削除,民進党の職員が熊本地震発生後、党の公式ツイッターに民主党政権時代の東日本大震災対応をめぐり「自民党議員がデマを流して足を引っ張った」と書き込んでいたことが15日、分かった。(時事通信)
3,2016/3/11,大震災5年 被災地の再生誓う,祈りの日、再生誓う＝東日本大震災5年で追悼式―安倍首相「復興、確実に前進」,東日本大震災から11日で5年を迎え、政府主催の追悼式が東京都千代田区の国立劇場で営まれた。(時事通信)
4,2016/3/11,東日本大震災の発生から5年,午後に政府追悼式＝東日本大震災5年,東日本大震災から5年を迎え、政府主催の追悼式が11日午後、国立劇場（東京都千代田区）で営まれる。(時事通信)
5,2016/3/11,原発事故 国民負担は3兆円超,国民負担3兆4千億円超＝賠償・除染など、事故5年で―総額見えず拡大へ・福島原発,東京電力福島第1原発事故の発生から5年間に損害賠償や除染、汚染水対策などで国民が負担した額が、確定分だけで3兆4613億円を超えることが分かった。(時事通信)
6,2016/2/19,小説だから描ける 被災の現実,自分が変われば、世界が変わる 作家・天童荒太、被災地に立つ,"東日本大震災が起こったあの日から、もうすぐ丸5年が経つ。

「消せない悲しみが刻み込まれた場所がこの国にはあり、これからもつらい思いを抱え続ける人々がいる。その現実に対し、自分は実際にはほとんど何もできないかもしれないけれども、知っておくということはできる。共に助け合って生きる、本当に豊かな社会を取り戻すための第一歩は、知ることなのではないでしょうか」

避難指示区域に立った小説家・天童荒太が語る言葉の中には、さらに5年後、10年後や20年後も振り返りたくなるような、これからの生き方にまつわる大切なメッセージが宿っていた。(Yahoo!ニュース編集部／文藝春秋)"
7,2016/2/8,コストコ崩落 設計者に有罪,スーパー崩落、設計者に有罪＝震災で8人死傷―東京地裁支部,東日本大震災で東京都町田市のスーパー「コストコ多摩境倉庫店」の駐車場スロープが崩落し8人が死傷した事故で、設計にミスがあったとして業務上過失致死傷罪に問われた1級建築士高木直喜被告（69）＝石川県野々市市＝の判決が8日、東京地裁立川支部であった。(時事通信)
8,2015/4/12,震災で流出?米に日本漁船漂着,日本から漁船漂着＝いけすに生きた近海魚―米オレゴン州,【ロサンゼルス時事】東日本大震災の津波で流されたとみられる漁船の残骸が11日までに、米西部オレゴン州の海岸近くで発見された。残骸のいけすには日本近海に生息するヒラマサとイシダイが生きたまま確認され、震災から4年余りをかけて約6400キロを漂流したことになる。(時事通信)
9,2015/3/11,大震災4年 鎮魂と再生へ祈り,鎮魂、再生へ祈り＝東日本大震災4年で追悼式―安倍首相「復興、新たな段階に」,東日本大震災から4年を迎えた11日、政府主催の追悼式が東京都千代田区の国立劇場で営まれた。天皇、皇后両陛下、安倍晋三首相ら三権の長、犠牲者の遺族代表ら約1200人が参列。地震発生時刻の午後2時46分から1分間、黙とうし、犠牲者の鎮魂と東北の再生を祈った。(時事通信)
10,2014/3/11,震災3年 政府追悼式に1200人,犠牲者の冥福祈る＝政府が追悼式―東日本大震災3年,東日本大震災から11日で3年を迎え、政府主催の追悼式が東京都千代田区の国立劇場で営まれた。天皇、皇后両陛下、安倍晋三首相ら三権の長、犠牲者の遺族代表ら約1200人が参列。大震災が起きた午後2時46分から1分間、黙とうし、犠牲者の冥福を祈る。　(時事通信)
