id,pubdate,headline,title,body
1,2016/3/24,8年ぶり上昇 公示地価とは,8年ぶりに上昇した「公示地価」ってどんな指標？,全国の土地の価格を示す公示地価が8年ぶりに上昇に転じました。訪日客の爆買いなどの影響が大きいといわれますが、日本の土地はこれから上がっていくのでしょうか。(THE PAGE)
2,2016/3/22,公示地価、8年ぶりに上昇,公示地価、8年ぶり上昇＝三大都市圏は3年連続―東京・銀座で最高4010万円,国土交通省は22日、1月1日時点の公示地価を発表した。(時事通信)
3,2015/3/18,地価 3大都市圏は2年連続上昇,15年公示地価は商業地が横ばい圏に回復、3大都市圏は2年連続上昇,［東京　１８日　ロイター］ - 国土交通省が１８日に発表した今年１月１日時点の「地価公示」によると、全国平均の商業地は前年比０．０％となり、前年の同０．５％下落から横ばい圏内の動きに回復した。住宅地は同０．４％の下落となったが、５年連続でマイナス幅が縮小。(ロイター)
4,2013/11/26,主要都市の71%で地価上昇,主要都市地価:上昇地区71％に拡大、値上がり傾向続く−第３四半期 (1),11月26日（ブルームバーグ）：国土交通省が26日発表した７月１日−10月１日（第３四半期）の地価動向報告によると、全国主要150地区のうち、３カ月前と比べ地価が上昇したのは全体の71％となり、前四半期の66％から増加した。大胆な金融緩和を柱とするアベノミクス効果で、年初来の地価上昇傾向が継続している。(Bloomberg)
5,2013/3/22,被災3県 高台需要で地価2極化,地価公示　宮城、岩手、福島の被災３県　高台需要で二極化,宮城、岩手、福島の被災３県では、住宅再建の動きが強まり、一部の高台に需要が集中、住宅地を中心に地価の二極化が顕著になっている。全国の上昇率上位１０地点のうち７地点を３県が占めた。一方、津波が直撃した沿岸部や原発事故の影響が懸念される地域では地価の下落が目立った。(SankeiBiz)
6,2013/3/21,公示地価 下落も底入れの兆し,公示地価、底入れの兆し＝5年連続下落も幅縮小―国交省,国土交通省が21日発表した2013年1月1日時点の公示地価は、全国平均で住宅地が前年比1．6％、商業地が2．1％下落した。5年連続で前年を下回ったが、下げ幅は縮小。地域別でも三大都市圏（東京、大阪、名古屋）、地方圏の下落幅がそろって縮まった。また、全調査地点2万6000カ所のうち、上昇したのが前年の546地点から2008地点に増えた。同省は08年秋のリーマン・ショック以降続く地価の下落について、「底入れの兆しが見えつつある」と分析している。(時事通信)
7,2010/9/21,基準地価 全都道府県で下落,2年連続、全都道府県で下落＝三大都市圏は下げ幅縮小―地方厳しさ続く・基準地価,国土交通省が21日発表した7月1日時点の基準地価（都道府県地価）は、全国平均で住宅地、商業地ともに前年より下落した。住宅地は3．4％で19年連続、商業地は4．6％で3年連続となる。三大都市圏では下げ幅が縮小したが、2年連続で全都道府県で下落しており、景気低迷を受けた不動産市況の厳しさが全国的に続いている実態が鮮明になった。(時事通信)
8,2010/2/24,地価、池袋駅東口のみ上昇,池袋駅東口のみ上昇＝全体は下落基調−四半期地価調査,国土交通省は24日、全国主要都市の計150地区を対象に四半期ごとに実施している地価動向調査結果（2010年1月1日時点）を発表した。東京都豊島区の池袋駅東口1地区のみ前回調査時（09年10月1日）から上昇したが、それ以外の144地区は下落、5地区は横ばいで、下落傾向が続いた。上昇地区の出現は6期ぶり。(時事通信)
9,2009/9/17,基準地価 全都道府県で下落,基準地価、全都道府県で下落＝商業地、大都市も反転−住宅地は18年連続マイナス,国土交通省が17日発表した7月1日時点の基準地価（都道府県地価）は、住宅地、商業地ともに全都道府県で前年より下落した。全国平均で住宅地は前年を4．0％下回り、18年連続のマイナス。商業地は5．9％落ち込み、下落幅は前年の0．8％から大幅に拡大した。(時事通信)
10,2009/7/1,路線価5.5%下落 4年ぶり一転,路線価、5．5％下落＝4年ぶり一転、全都道府県で軒並み−金融危機背景に・国税庁,国税庁は1日、相続税や贈与税の算定基準となる2009年分の路線価（1月1日現在）を公表した。全国約37万地点の標準宅地の平均路線価は、昨年まで3年連続で上昇してきたが、今年は下落。金融危機や景気の悪化を背景に、昨年の10．0％上昇から一転、5．5％下落し1平方メートル当たり13万7000円となった。(時事通信)
11,2008/9/18,基準地価 商業地が再び下落,商業地が再び下落＝基準地価、年明けから冷え込み−住宅地は17年連続マイナス,国土交通省が18日発表した7月1日時点の基準地価（都道府県地価）は、全国平均で住宅地・商業地とも前年より下落した。17年連続マイナスの住宅地は前年を1．2％下回り、下落幅は5年ぶりに拡大。前年は16年ぶりに上昇した商業地は再び下落に転じ、0．8％落ち込んだ。景気減速や米サブプライムローン問題に端を発する不動産市況の停滞に伴い、特に東京都心部で年明けから急速に冷え込んでいる。同省は「地価の持ち直し傾向に陰りが見られる」としている。　(時事通信)
